Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1981/08/09,1981,08,09,ALS198108090,National League All Stars,American League All Stars,Cleveland Stadium,Bill Haller,Ed Vargo,Lou DiMuro,Bob Engel,Greg Kosc,Jim Quick,Bill Haller;Ed Vargo;Lou DiMuro;Bob Engel;Greg Kosc;Jim Quick,,
1982/07/13,1982,07,13,NLS198207130,American League All Stars,National League All Stars,Stade Olympique,Doug Harvey,Marty Springstead,John McSherry,Jim McKean,Ed Montague,Mike Reilly,Doug Harvey;Marty Springstead;John McSherry;Jim McKean;Ed Montague;Mike Reilly,,
1983/07/06,1983,07,06,ALS198307060,National League All Stars,American League All Stars,Comiskey Park I,George Maloney,Harry Wendelstedt,Ted Hendry,Jim Quick,John Shulock,Dave Pallone,George Maloney;Harry Wendelstedt;Ted Hendry;Jim Quick;John Shulock;Dave Pallone,,
1984/07/10,1984,07,10,NLS198407100,American League All Stars,National League All Stars,Candlestick Park,Lee Weyer,Al Clark,Dutch Rennert,Durwood Merrill,Fred Brocklander,Rocky Roe,Lee Weyer;Al Clark;Dutch Rennert;Durwood Merrill;Fred Brocklander;Rocky Roe,,
1985/07/16,1985,07,16,ALS198507160,National League All Stars,American League All Stars,Hubert H. Humphrey Metrodome,Larry McCoy,John Kibler,Nick Bremigan,Charlie Williams,Drew Coble,Randy Marsh,Larry McCoy;John Kibler;Nick Bremigan;Charlie Williams;Drew Coble;Randy Marsh,,
1986/07/15,1986,07,15,NLS198607150,American League All Stars,National League All Stars,Astrodome,Bruce Froemming,Steve Palermo,Paul Runge,Rick Reed,Eric Gregg,Tim McClelland,Bruce Froemming;Steve Palermo;Paul Runge;Rick Reed;Eric Gregg;Tim McClelland,,
1987/07/14,1987,07,14,ALS198707140,National League All Stars,American League All Stars,Oakland-Alameda County Coliseum,Don Denkinger,Dick Stello,Vic Voltaggio,Joe West,Derryl Cousins,Bob Davidson,Don Denkinger;Dick Stello;Vic Voltaggio;Joe West;Derryl Cousins;Bob Davidson,,
1988/07/12,1988,07,12,NLS198807120,American League All Stars,National League All Stars,Cinergy Field,Frank Pulli,Larry Barnett,Terry Tata,Dale Ford,Randy Marsh,Dan Morrison,Frank Pulli;Larry Barnett;Terry Tata;Dale Ford;Randy Marsh;Dan Morrison,,
1989/07/11,1989,07,11,ALS198907110,National League All Stars,American League All Stars,Angel Stadium of Anaheim,Jim Evans,Bob Engel,Terry Cooney,Jerry Crawford,John Hirschbeck,Gerry Davis,Jim Evans;Bob Engel;Terry Cooney;Jerry Crawford;John Hirschbeck;Gerry Davis,,
1990/07/10,1990,07,10,NLS199007100,American League All Stars,National League All Stars,Wrigley Field,Ed Montague,Dave Phillips,Steve Rippley,Mark Johnson,Dana DeMuth,Tim Welke,Ed Montague;Dave Phillips;Steve Rippley;Mark Johnson;Dana DeMuth;Tim Welke,,
1991/07/09,1991,07,09,ALS199107090,National League All Stars,American League All Stars,Rogers Centre,Joe Brinkman,John McSherry,Ken Kaiser,Jim Quick,Larry Young,Greg Bonin,Joe Brinkman;John McSherry;Ken Kaiser;Jim Quick;Larry Young;Greg Bonin,,
1992/07/14,1992,07,14,NLS199207140,American League All Stars,National League All Stars,Qualcomm Stadium,Doug Harvey,Rich Garcia,Harry Wendelstedt,Greg Kosc,Tom Hallion,Tim Tschida,Doug Harvey;Rich Garcia;Harry Wendelstedt;Greg Kosc;Tom Hallion;Tim Tschida,,
1993/07/13,1993,07,13,ALS199307130,National League All Stars,American League All Stars,Oriole Park at Camden Yards,Jim McKean,Bob Davidson,Mike Reilly,Gary Darling,Dale Scott,Mark Hirschbeck,Jim McKean;Bob Davidson;Mike Reilly;Gary Darling;Dale Scott;Mark Hirschbeck,,
1994/07/12,1994,07,12,NLS199407120,American League All Stars,National League All Stars,Three Rivers Stadium,Paul Runge,John Shulock,Jerry Layne,Rocky Roe,Bill Hohn,Jim Joyce,Paul Runge;John Shulock;Jerry Layne;Rocky Roe;Bill Hohn;Jim Joyce,,
