Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/05/19,1940,05,19,BRO194005190,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Ziggy Sears,Tom Dunn,(none),Lou Jorda,,,Ziggy Sears;Tom Dunn;Lou Jorda,,
1940/05/20,1940,05,20,BRO194005200,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Tom Dunn,Lou Jorda,(none),Ziggy Sears,,,Tom Dunn;Lou Jorda;Ziggy Sears,,
1940/05/21,1940,05,21,BRO194005210,Chicago Cubs,Brooklyn Dodgers,Ebbets Field,Lou Jorda,Ziggy Sears,(none),Tom Dunn,,,Lou Jorda;Ziggy Sears;Tom Dunn,Roy Cullenbine ejected by Lou Jorda,
1940/05/22,1940,05,22,BRO194005220,Pittsburgh Pirates,Brooklyn Dodgers,Ebbets Field,George Magerkurth,Bill Stewart,(none),George Barr,,,George Magerkurth;Bill Stewart;George Barr,,
1940/05/27,1940,05,27,BRO194005270,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,George Magerkurth,Bill Stewart,(none),George Barr,,,George Magerkurth;Bill Stewart;George Barr,,
1940/05/28,1940,05,28,BRO194005280,Philadelphia Phillies,Brooklyn Dodgers,Ebbets Field,Bill Stewart,George Barr,(none),George Magerkurth,,,Bill Stewart;George Barr;George Magerkurth,,
1940/05/30,1940,05,30,BRO194005301,New York Giants,Brooklyn Dodgers,Ebbets Field,George Barr,George Magerkurth,(none),Bill Stewart,,,George Barr;George Magerkurth;Bill Stewart,,
1940/05/30,1940,05,30,BRO194005302,New York Giants,Brooklyn Dodgers,Ebbets Field,George Magerkurth,Bill Stewart,(none),George Barr,,,George Magerkurth;Bill Stewart;George Barr,,
1940/06/14,1940,06,14,BRO194006140,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Babe Pinelli,Beans Reardon,(none),Larry Goetz,,,Babe Pinelli;Beans Reardon;Larry Goetz,,
1940/06/15,1940,06,15,BRO194006150,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Beans Reardon,Larry Goetz,(none),Babe Pinelli,,,Beans Reardon;Larry Goetz;Babe Pinelli,,
1940/06/16,1940,06,16,BRO194006161,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Larry Goetz,Babe Pinelli,(none),Beans Reardon,,,Larry Goetz;Babe Pinelli;Beans Reardon,,
1940/06/16,1940,06,16,BRO194006162,Cincinnati Reds,Brooklyn Dodgers,Ebbets Field,Babe Pinelli,Beans Reardon,(none),Larry Goetz,,,Babe Pinelli;Beans Reardon;Larry Goetz,,
1940/06/17,1940,06,17,BRO194006170,St. Louis Cardinals,Brooklyn Dodgers,Ebbets Field,Lee Ballanfant,Bick Campbell,(none),Bill Klem,,,Lee Ballanfant;Bick Campbell;Bill Klem,,
